MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	1024.0137	Sec	11/6/2020 1:27:14 PM
Time	Station 1 Force	Station 1 Displacement
Sec	N	mm
449.01074	35.498024	0.0045735822
450.01074	37.16674	0.0090552056
451.01074	35.667458	0.0050344169
452.01074	36.507996	0.0067510325
453.01074	38.064796	0.0075192419
454.01074	35.053921	0.0067153834
455.01074	36.643875	0.0054233032
456.01074	37.21677	0.0055854148
457.01074	34.622677	0.0066888421
458.01074	36.261856	0.0057493481
459.01074	33.219437	0.0066612596
460.01074	34.198666	0.0061321845
461.01074	35.748032	0.0059322771
462.01074	35.595875	0.010072763
463.01074	36.960537	0.0058888216
464.01074	34.034306	0.0040905648
465.01074	37.921883	0.0052463594
466.01074	35.962421	0.005762619
467.01074	33.234104	0.0048902598
468.01074	39.622952	0.0066948268
469.01074	35.850502	0.006087428
470.01074	33.629383	0.004682871
471.01074	34.815369	0.0075400588
472.01074	36.167824	0.0070960731
473.01074	37.549362	0.0040221289
474.01074	35.154385	0.0065941247
475.01074	37.193062	0.0059505566
476.01074	35.396553	0.0058443253
477.01074	39.161819	0.0060533402
478.01074	37.50169	0.0057311333
479.01074	37.6008	0.0057607973
480.01074	36.005222	0.0062367893
481.01074	39.872154	0.0065571098
482.01074	34.976963	0.0045504235
483.01074	34.614437	0.0055601746
484.01074	36.652313	0.0066950871
485.01074	36.582741	0.0056954846
486.01074	36.066299	0.004349215
487.01074	35.724117	0.0068756738
488.01074	39.033974	0.0058573359
489.01074	38.946774	0.0050411825
490.01074	38.685516	0.0091655347
491.01074	33.90847	0.00537627
492.01074	37.802734	0.0067963093
493.01074	34.10202	0.005460253
494.01074	38.117237	0.0057602772
495.01074	36.94165	0.0070619853
496.01074	34.929092	0.0063112099
497.01074	34.838676	0.0063268226
498.01074	39.438095	0.0060236761
499.01074	36.885391	0.0049074339
500.01074	36.133667	0.0074552298
501.01074	38.039879	0.004004695
502.01074	37.190853	0.0060491767
503.01074	37.049351	0.0055424799
504.01074	31.531431	0.0066708871
505.01074	36.662964	0.004295351
506.01074	39.906715	0.0063080871
507.01074	35.267357	0.0061152708
508.01074	36.542755	0.005965909
509.01074	36.802208	0.0065336907
510.01074	32.821747	0.0046061086
511.01074	39.316536	0.0069841822
512.01074	33.563274	0.0052109705
513.01074	35.52475	0.0059192665
514.01074	37.226616	0.0052336091
515.01074	38.201828	0.0057730274
516.01074	38.488403	0.0071496763
517.01074	35.791832	0.0061301026
518.01074	35.361794	0.0059947926
519.01074	36.137482	0.0063679358
520.01074	37.476974	0.0056535904
521.01074	35.123642	0.0058469274
522.01074	37.886318	0.0062198755
523.01074	37.894962	0.0060067624
524.01074	32.655376	0.0050422233
525.01074	37.685993	0.0055848947
526.01074	35.766315	0.0063197967
527.01074	35.716888	0.0059802206
528.01074	36.348057	0.0060572433
529.01074	34.893124	0.0065087103
530.01074	31.035486	0.0056109158
531.01074	38.469917	0.0062797242
532.01074	35.830212	0.0072309277
533.01074	36.381611	0.0074919197
534.01074	37.348381	0.0069292774
535.01074	37.22863	0.0064459993
536.01074	35.701015	0.0071395282
537.01074	32.982288	0.0062503205
538.01074	36.712189	0.0052689975
539.01074	34.564808	0.0088097611
540.01074	34.781212	0.0062763416
541.01074	36.002209	0.007213233
542.01074	34.705864	0.0053288462
543.01074	36.499355	0.0067791352
544.01074	35.070801	0.0071083028
545.01074	36.746349	0.0057636597
546.01074	38.250454	0.0057982681
547.01074	35.823582	0.0057126582
548.01074	36.275925	0.0055130762
549.01074	35.83905	0.0065982882
550.01074	34.551346	0.0067887632
551.01074	33.276302	0.005694964
552.01074	33.701515	0.0062188348
553.01074	35.18317	0.0069969324
554.01074	35.746822	0.0072468002
555.01074	37.789673	0.0062479787
556.01074	34.434357	0.0080040814
557.01074	33.137257	0.0058190851
558.01074	35.055729	0.0068116616
559.01074	33.800373	0.0063897939
560.01074	37.543335	0.0050544534
561.01074	35.405796	0.0042550182
562.01074	38.287273	0.0064264834
563.01074	36.595249	0.0055346736
564.01074	33.967747	0.0054292879
565.01074	39.487324	0.0038240431
566.01074	36.603691	0.0059320168
567.01074	36.243977	0.00714187
568.01074	38.073837	0.0060759787
569.01074	36.018082	0.0051346635
570.01074	37.12294	0.0054800292
571.01074	35.843273	0.0051958784
572.01074	39.225712	0.0050039724
